Date,Close/Last,Volume,Open,High,Low
01/29/2025,$166.23,4850295,$166.72,$167.29,$165.8805
01/28/2025,$166.19,6716387,$168.91,$169.59,$166.11
01/27/2025,$169.66,9170829,$166.72,$169.94,$166.11
01/24/2025,$164.12,6199939,$165.91,$165.91,$163.20
01/23/2025,$166.15,7614308,$163.88,$166.48,$163.32
01/22/2025,$164.74,14356690,$167.10,$168.14,$164.44
01/21/2025,$161.72,13914690,$160.96,$162.35,$160.96
01/17/2025,$161.13,7262739,$159.74,$161.75,$159.60
01/16/2025,$160.50,5774429,$159.62,$160.58,$159.135
01/15/2025,$159.65,8059231,$160.59,$161.15,$159.335
01/14/2025,$159.74,5982254,$158.85,$160.07,$158.31
01/13/2025,$158.84,6772198,$159.35,$160.09,$158.41
01/10/2025,$158.56,8501525,$160.15,$161.21,$157.47
01/08/2025,$162.10,4974783,$160.99,$162.40,$160.565
01/07/2025,$161.30,8447744,$161.46,$162.61,$160.74
01/06/2025,$160.60,8731671,$162.81,$163.50,$160.44
01/03/2025,$165.13,5256807,$166.25,$166.50,$164.25
01/02/2025,$165.98,5401712,$168.085,$168.7052,$165.91
12/31/2024,$167.65,3957920,$167.36,$168.08,$166.59
12/30/2024,$167.09,4354543,$168.665,$168.98,$166.71
12/27/2024,$169.53,4367879,$169.42,$170.76,$169.26
12/26/2024,$170.16,3629533,$168.31,$170.30,$168.07
12/24/2024,$168.94,2460756,$167.62,$169.18,$167.42
12/23/2024,$168.11,6984079,$168.06,$168.68,$166.36
12/20/2024,$168.06,21999340,$168.87,$169.865,$167.50
12/19/2024,$169.19,8585220,$169.01,$170.10,$167.35
12/18/2024,$169.08,7517081,$169.76,$170.56,$169.02
12/17/2024,$170.33,6069344,$170.67,$171.954,$170.02
12/16/2024,$171.14,5943680,$171.445,$172.78,$171.0975
12/13/2024,$171.06,3884513,$170.77,$171.7875,$170.12
12/12/2024,$170.85,4072810,$171.43,$171.8177,$170.02
12/11/2024,$170.63,5237533,$173.01,$173.39,$170.395
12/10/2024,$172.28,6220088,$170.42,$172.93,$169.93
12/09/2024,$170.79,7164286,$173.635,$173.76,$170.43
12/06/2024,$173.82,5741167,$175.37,$176.74,$173.75
12/05/2024,$176.03,5022189,$174.86,$176.459,$174.45
12/04/2024,$175.11,6823659,$174.17,$175.15,$173.46
12/03/2024,$175.42,8127329,$178.77,$179.62,$175.20
12/02/2024,$179.70,5728297,$179.12,$180.16,$178.01
11/29/2024,$179.26,3823708,$178.70,$179.63,$178.28
11/27/2024,$179.36,5522912,$180.00,$180.43,$178.725
11/26/2024,$179.31,6276933,$177.20,$179.46,$177.20
11/25/2024,$177.39,19357010,$177.48,$178.82,$176.904
11/22/2024,$176.28,10609790,$174.145,$177.40,$173.88
11/21/2024,$172.75,6240403,$171.66,$173.51,$170.22
11/20/2024,$170.89,7081237,$170.01,$171.07,$169.5055
11/19/2024,$170.76,5683673,$170.69,$171.17,$169.66
11/18/2024,$170.75,6681087,$169.11,$171.45,$168.8301
11/15/2024,$169.54,9939416,$167.94,$170.57,$166.88
11/14/2024,$167.08,7444273,$166.71,$168.04,$166.51
11/13/2024,$166.58,5412566,$166.06,$166.795,$165.68
11/12/2024,$165.84,6507823,$166.14,$167.06,$165.57
11/11/2024,$166.03,6364403,$167.00,$168.52,$165.775
11/08/2024,$167.71,7506566,$164.015,$167.75,$163.93
11/07/2024,$163.41,9056725,$161.96,$163.9534,$161.475
11/06/2024,$161.05,11473690,$165.61,$166.04,$159.81
11/05/2024,$165.76,4397441,$164.33,$166.32,$164.33
11/04/2024,$165.08,5130338,$165.72,$166.27,$164.58
11/01/2024,$165.10,5455095,$165.31,$166.35,$164.985
10/31/2024,$165.18,6056514,$165.76,$167.04,$165.09
10/30/2024,$166.16,5518085,$167.09,$167.32,$165.96
10/29/2024,$167.17,5681358,$168.86,$168.86,$166.83
10/28/2024,$169.30,5754043,$169.28,$169.66,$168.375
10/25/2024,$168.22,4877911,$168.92,$169.40,$168.041
10/24/2024,$169.62,5861303,$169.42,$169.96,$168.93
10/23/2024,$169.58,4837810,$169.55,$170.1656,$168.725
10/22/2024,$169.70,7511671,$168.57,$170.73,$168.57
10/21/2024,$169.54,5522460,$170.975,$171.48,$168.45
10/18/2024,$171.28,8372536,$170.30,$172.21,$168.46
10/17/2024,$172.28,7045586,$172.18,$173.68,$171.76
10/16/2024,$172.38,6117053,$171.88,$172.59,$170.89
10/15/2024,$173.57,7172262,$172.89,$174.905,$172.815
10/14/2024,$172.51,5909158,$171.02,$172.84,$170.74
10/11/2024,$171.09,7036480,$169.46,$171.41,$168.97
10/10/2024,$168.95,6932308,$168.80,$169.79,$168.37
10/09/2024,$169.27,8758806,$168.38,$169.805,$168.00
10/08/2024,$168.16,7472965,$166.85,$168.59,$166.27
10/07/2024,$167.12,6325281,$169.16,$169.58,$166.87
10/04/2024,$168.88,6003668,$168.85,$170.09,$168.26
10/03/2024,$170.12,4794348,$171.37,$171.37,$169.77
10/02/2024,$171.92,6212890,$172.01,$172.45,$171.08
10/01/2024,$173.04,7130825,$173.24,$174.00,$172.20
09/30/2024,$173.20,6296653,$173.73,$174.00,$172.71
09/27/2024,$173.55,4599709,$173.01,$174.445,$172.58
09/26/2024,$173.21,4957367,$171.50,$174.61,$171.36
09/25/2024,$172.26,8916483,$174.07,$174.68,$172.06
09/24/2024,$173.24,5422351,$172.88,$174.50,$172.615
09/23/2024,$173.77,10265200,$174.01,$175.185,$172.5901
09/20/2024,$174.22,28647460,$171.51,$174.54,$171.50
09/19/2024,$171.54,8692016,$172.88,$173.16,$170.38
09/18/2024,$173.92,5102884,$175.05,$175.90,$172.57
09/17/2024,$175.88,4757247,$176.625,$176.97,$175.36
09/16/2024,$177.24,6892335,$174.71,$177.31,$174.32
09/13/2024,$174.08,3917986,$173.37,$174.54,$172.80
09/12/2024,$173.47,4839752,$173.90,$174.6111,$172.44
09/11/2024,$173.92,6828173,$176.60,$177.00,$173.63
09/10/2024,$177.79,6396311,$175.91,$177.94,$175.91
09/09/2024,$176.06,6450204,$175.54,$176.84,$174.66
09/06/2024,$175.59,5785684,$175.76,$177.04,$175.34
09/05/2024,$175.47,6061865,$175.99,$176.55,$174.67
09/04/2024,$175.90,7517526,$173.63,$176.00,$173.63
09/03/2024,$174.52,10101420,$171.03,$175.00,$170.99
08/30/2024,$171.54,7301617,$170.16,$171.88,$169.69
08/29/2024,$170.03,4413165,$169.75,$170.60,$168.94
08/28/2024,$169.06,5645040,$169.42,$171.20,$168.58
08/27/2024,$169.25,4456635,$170.83,$171.10,$169.08
08/26/2024,$170.35,6472417,$168.695,$170.97,$168.695
08/23/2024,$169.17,4771267,$170.05,$170.11,$168.25
08/22/2024,$170.15,4097382,$170.88,$171.24,$169.14
08/21/2024,$170.16,4082026,$170.19,$171.89,$169.60
08/20/2024,$170.41,4513600,$168.77,$170.56,$168.11
08/19/2024,$168.42,3885315,$168.18,$169.235,$168.17
08/16/2024,$167.89,5640925,$167.82,$168.35,$166.80
08/15/2024,$167.92,9491625,$169.46,$169.68,$166.75
08/14/2024,$168.80,5476675,$166.50,$169.47,$165.82
08/13/2024,$167.29,3770007,$167.34,$167.80,$166.46
08/12/2024,$166.81,7208103,$169.40,$169.65,$166.20
08/09/2024,$170.54,5377378,$170.12,$171.26,$169.65
08/08/2024,$170.87,6386941,$169.42,$171.56,$169.00
08/07/2024,$170.02,8385546,$168.57,$171.72,$168.01
08/06/2024,$168.09,7454869,$167.90,$170.33,$167.85
08/05/2024,$168.06,10338770,$170.88,$170.88,$166.67
08/02/2024,$170.08,11899040,$167.44,$170.35,$165.15
08/01/2024,$165.69,12532700,$160.88,$166.305,$160.68
07/31/2024,$160.76,9660902,$160.81,$162.86,$159.21
07/30/2024,$161.70,15746250,$161.79,$162.38,$158.04
07/29/2024,$169.93,6797832,$168.85,$170.5399,$168.11
07/26/2024,$169.11,5581557,$167.25,$169.32,$167.03
07/25/2024,$166.90,7338521,$168.32,$170.085,$166.87
07/24/2024,$168.00,5906992,$166.32,$168.28,$165.575
07/23/2024,$166.62,4863398,$168.11,$168.4199,$166.32
07/22/2024,$168.25,6383031,$167.93,$168.70,$167.70
07/19/2024,$167.96,6597090,$167.97,$169.035,$167.13
07/18/2024,$168.44,5926346,$168.80,$170.92,$168.28
07/17/2024,$169.44,7982328,$167.75,$170.17,$167.33
07/16/2024,$166.95,6378312,$164.91,$167.07,$164.61
07/15/2024,$164.58,5752513,$166.47,$166.615,$164.46
07/12/2024,$166.61,4684642,$166.22,$167.64,$166.02
07/11/2024,$165.54,5833061,$166.30,$166.63,$164.78
07/10/2024,$166.80,5037097,$165.90,$166.92,$165.54
07/09/2024,$165.66,4393179,$166.63,$166.759,$165.14
07/08/2024,$166.52,5144458,$165.95,$166.6734,$165.62
07/05/2024,$165.21,6509248,$164.01,$165.625,$163.50
07/03/2024,$163.83,2980461,$163.21,$164.21,$162.975
07/02/2024,$163.90,5449219,$162.58,$164.04,$161.71
07/01/2024,$162.72,7638639,$165.59,$166.21,$162.20
06/28/2024,$164.92,9253317,$166.00,$167.24,$164.58
06/27/2024,$166.62,5006990,$167.49,$168.10,$165.50
06/26/2024,$167.45,5164046,$166.05,$167.81,$165.66
06/25/2024,$166.85,8323968,$168.63,$168.9075,$165.90
06/24/2024,$168.45,7565304,$168.76,$169.41,$167.48
06/21/2024,$168.26,14682060,$167.48,$168.88,$167.18
06/20/2024,$167.67,8483606,$168.37,$168.78,$166.86
06/18/2024,$168.56,5112634,$167.03,$168.65,$166.94
06/17/2024,$167.50,6759352,$165.85,$168.71,$165.40
06/14/2024,$166.79,3694974,$165.99,$166.93,$165.25
06/13/2024,$166.41,4902180,$164.47,$167.00,$164.47
06/12/2024,$165.18,5474498,$167.50,$167.64,$164.2209
06/11/2024,$167.48,3947671,$166.97,$167.50,$166.02
06/10/2024,$167.35,4110668,$166.78,$167.715,$166.08
06/07/2024,$167.06,4558190,$168.40,$168.97,$166.84
06/06/2024,$168.47,6302243,$165.83,$168.58,$165.08
